mass_A
t	x	y
2.724000000E2	-5.242487532E-6	4.569140509E-6
2.724333333E2	-5.368860313E-6	4.632135039E-6
2.724666667E2	-5.374872946E-6	4.626324214E-6
2.725000000E2	-5.379102775E-6	4.622352935E-6
2.725333333E2	-5.289507289E-6	4.794494738E-6
2.725666667E2	-5.290047617E-6	4.800877990E-6
2.726000000E2	-5.289440715E-6	4.804815378E-6
2.726333333E2	-5.289823983E-6	4.806467041E-6
2.726666667E2	-5.288104885E-6	4.807101967E-6
2.727000000E2	-5.288940540E-6	4.807886452E-6
2.727333333E2	-5.061751952E-6	4.767821964E-6
2.727666667E2	-5.057330355E-6	4.765346497E-6
2.728000000E2	-5.185813650E-6	4.863618098E-6
2.728333333E2	-5.189654489E-6	4.861629779E-6
2.728666667E2	-5.191020173E-6	4.860603248E-6
2.729000000E2	-5.192165948E-6	4.859667787E-6
2.729333333E2	-5.152044691E-6	4.731987940E-6
2.729666667E2	-5.149940843E-6	4.723541660E-6
2.730000000E2	-5.147437945E-6	4.721782171E-6
2.730333333E2	-5.147099901E-6	4.718496139E-6
2.730666667E2	-5.057831695E-6	4.702700582E-6
2.731000000E2	-5.055716713E-6	4.707617992E-6
2.731333333E2	-5.053940317E-6	4.709794663E-6
2.731666667E2	-5.052728386E-6	4.711039378E-6
2.732000000E2	-4.944272726E-6	4.538948512E-6
2.732333333E2	-4.948488270E-6	4.531799430E-6
2.732666667E2	-4.949928412E-6	4.527687894E-6
2.733000000E2	-4.951097465E-6	4.525781903E-6
2.733333333E2	-4.770016304E-6	4.632482300E-6
2.733666667E2	-4.767592581E-6	4.627508573E-6
2.734000000E2	-4.765932179E-6	4.624653968E-6
2.734333333E2	-4.764605465E-6	4.622071974E-6
2.734666667E2	-4.857207058E-6	4.604605859E-6
2.735000000E2	-4.857467041E-6	4.609633859E-6
2.735333333E2	-4.857438153E-6	4.610565081E-6
2.735666667E2	-4.857544019E-6	4.612783005E-6
2.736000000E2	-4.853974103E-6	4.616659074E-6
2.736333333E2	-4.855411146E-6	4.616632592E-6
2.736666667E2	-4.856418495E-6	4.616055235E-6
2.737000000E2	-4.856867872E-6	4.616384245E-6
2.737333333E2	-5.148752647E-6	4.592691247E-6
2.737666667E2	-5.148055607E-6	4.579954523E-6
2.738000000E2	-5.147816346E-6	4.575077205E-6
2.738333333E2	-5.147425222E-6	4.572572788E-6
2.738666667E2	-5.239011985E-6	4.474493081E-6
2.739000000E2	-5.240188130E-6	4.473917496E-6
2.739333333E2	-5.241131838E-6	4.473579677E-6
2.739666667E2	-5.241577664E-6	4.473396923E-6
2.740000000E2	-4.954640122E-6	4.510446826E-6
2.740333333E2	-4.954463988E-6	4.516235765E-6
2.740666667E2	-4.954418636E-6	4.518542090E-6
2.741000000E2	-4.954354420E-6	4.519473827E-6
2.741333333E2	-5.057369765E-6	4.521861087E-6
2.741666667E2	-5.054856171E-6	4.521559746E-6
2.742000000E2	-5.053139773E-6	4.521415932E-6
2.742333333E2	-5.052172983E-6	4.521256776E-6
2.742666667E2	-5.197961001E-6	4.401347817E-6
2.743000000E2	-5.196674030E-6	4.410357088E-6
2.743333333E2	-5.197065963E-6	4.414814343E-6
2.743666667E2	-5.196218323E-6	4.418474965E-6
2.744000000E2	-5.091968374E-6	4.314614059E-6
2.744333333E2	-5.094665465E-6	4.320409161E-6
2.744666667E2	-5.095756538E-6	4.322634031E-6
2.745000000E2	-5.096630943E-6	4.324689633E-6
2.745333333E2	-5.097732528E-6	4.412950780E-6
2.745666667E2	-5.097947094E-6	4.417254685E-6
2.746000000E2	-5.098444901E-6	4.419513922E-6
2.746333333E2	-5.098530968E-6	4.421039891E-6
2.746666667E2	-5.042585155E-6	4.593698188E-6
2.747000000E2	-5.045702250E-6	4.603948418E-6
2.747333333E2	-5.047289853E-6	4.609109086E-6
2.747666667E2	-5.048386827E-6	4.612227171E-6
2.748000000E2	-4.987358528E-6	4.720169142E-6
2.748333333E2	-4.993793690E-6	4.717679493E-6
2.748666667E2	-4.997089085E-6	4.716436155E-6
2.749000000E2	-4.999084689E-6	4.715460049E-6
2.749333333E2	-4.984062878E-6	4.752798349E-6
2.749666667E2	-4.991955938E-6	4.757189290E-6
2.750000000E2	-4.995296208E-6	4.756910751E-6
2.750333333E2	-4.998050148E-6	4.758936637E-6
2.750666667E2	-4.941675832E-6	4.826213417E-6
2.751000000E2	-4.947682875E-6	4.819340087E-6
2.751333333E2	-4.950484999E-6	4.817133264E-6
2.751666667E2	-4.951981549E-6	4.814301196E-6
2.752000000E2	-4.906027177E-6	4.663453681E-6
2.752333333E2	-4.906273107E-6	4.664371463E-6
2.752666667E2	-4.905786008E-6	4.664444619E-6
2.753000000E2	-4.905759035E-6	4.664590086E-6
2.753333333E2	-4.933435868E-6	4.669736081E-6
2.753666667E2	-4.943079874E-6	4.668228495E-6
2.754000000E2	-4.947014932E-6	4.667735484E-6
2.754333333E2	-4.949770242E-6	4.666888784E-6
2.754666667E2	-4.906920161E-6	4.574222411E-6
2.755000000E2	-4.906274107E-6	4.572392356E-6
2.755333333E2	-4.906343241E-6	4.570885366E-6
2.755666667E2	-4.906205851E-6	4.570293055E-6
2.756000000E2	-4.861757009E-6	4.475172492E-6
2.756333333E2	-4.860444634E-6	4.474640259E-6
2.756666667E2	-4.860459465E-6	4.473130730E-6
2.757000000E2	-4.859640429E-6	4.473079234E-6
2.757333333E2	-4.800775749E-6	4.545202259E-6
2.757666667E2	-4.804056325E-6	4.555128448E-6
2.758000000E2	-4.805851334E-6	4.560088375E-6
2.758333333E2	-4.807390249E-6	4.563363785E-6
2.758666667E2	-4.842293579E-6	4.552387297E-6
2.759000000E2	-4.849023576E-6	4.558550261E-6
2.759333333E2	-4.852363433E-6	4.561795683E-6
2.759666667E2	-4.854447746E-6	4.564320081E-6
2.760000000E2	-4.968402755E-6	4.683658586E-6
2.760333333E2	-4.963147406E-6	4.676501868E-6
2.760666667E2	-4.960134024E-6	4.672279199E-6
2.761000000E2	-4.958154501E-6	4.669770742E-6
2.761333333E2	-4.884864492E-6	4.837608286E-6
2.761666667E2	-4.894117386E-6	4.845262024E-6
2.762000000E2	-4.899161470E-6	4.850994139E-6
2.762333333E2	-4.901900226E-6	4.853329188E-6
2.762666667E2	-4.911113570E-6	4.965303460E-6
2.763000000E2	-4.910010429E-6	4.961459256E-6
2.763333333E2	-4.908821358E-6	4.958917248E-6
2.763666667E2	-4.868407052E-6	5.164827843E-6
2.764000000E2	-4.864365872E-6	5.157409388E-6
2.764333333E2	-4.862977045E-6	5.153470496E-6
