mass_A
t	x	y
3.600000000E0	-9.560280526E-7	2.458357849E-6
3.633333333E0	-1.047300632E-6	2.384775836E-6
3.666666667E0	-1.047468081E-6	2.378233121E-6
3.700000000E0	-1.047397292E-6	2.374606609E-6
3.733333333E0	-1.047473244E-6	2.372870929E-6
3.766666667E0	-1.047421592E-6	2.371582176E-6
3.800000000E0	-1.047443396E-6	2.371022884E-6
3.833333333E0	-1.064492362E-6	2.461676242E-6
3.866666667E0	-1.057714385E-6	2.462456026E-6
3.900000000E0	-1.054665968E-6	2.461889442E-6
3.933333333E0	-1.052544321E-6	2.461341959E-6
3.966666667E0	-1.051212785E-6	2.460978168E-6
4.000000000E0	-1.050319924E-6	2.460780769E-6
4.033333333E0	-1.087964586E-6	2.394791835E-6
4.066666667E0	-1.090481622E-6	2.402374680E-6
4.100000000E0	-1.091047830E-6	2.405224379E-6
4.133333333E0	-1.091492311E-6	2.407259891E-6
4.166666667E0	-1.091792861E-6	2.408692556E-6
4.200000000E0	-1.092030168E-6	2.409765184E-6
4.233333333E0	-1.011918620E-6	2.542177367E-6
4.266666667E0	-1.008332393E-6	2.544417691E-6
4.300000000E0	-1.006674841E-6	2.545629741E-6
4.333333333E0	-1.005376126E-6	2.546560237E-6
4.366666667E0	-1.004480761E-6	2.547233723E-6
4.400000000E0	-1.003767081E-6	2.547775040E-6
4.433333333E0	-6.796853895E-7	2.374294408E-6
4.466666667E0	-6.812407440E-7	2.371528955E-6
4.500000000E0	-6.819142028E-7	2.370324629E-6
4.533333333E0	-6.823784121E-7	2.369406541E-6
4.566666667E0	-6.826215689E-7	2.368895344E-6
